"filename", "language", "JSON", "JavaScript", "Markdown", "Shell Script", "CSS", "HTML", "Properties", "Ignore", "YAML", "XML", "comment", "blank", "total"
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\panda-syntax.css", "CSS", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 5, 6, 86
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\paraiso-dark.css", "CSS", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 9, 6, 39
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\paraiso-light.css", "CSS", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 9, 6, 39
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\pastel-on-dark.css", "CSS", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 8, 3, 53
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\railscasts.css", "CSS", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 9, 6, 35
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\rubyblue.css", "CSS", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\seti.css", "CSS", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 8, 3, 45
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\shadowfox.css", "CSS", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 8, 10, 53
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\solarized.css", "CSS", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 19, 30, 169
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\ssms.css", "CSS", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\the-matrix.css", "CSS", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\tomorrow-night-bright.css", "CSS", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 8, 6, 36
